State_Name,Crop_Year,Crop_Name,Season,Area,Production,Rainfall,Minimum Selling Price,Yield
Chhattisgarh,2006,RICE,Kharif,3905319,5441525,1219,580,1.393362488
Dadra and Nagar Haveli,2006,RICE,Kharif,643,1382,1023.7,580,2.149300156
Goa,2006,RICE,Kharif,29124,76689,3035.6,580,2.633189122
Gujarat,2006,RICE,Kharif,675300,1277000,1464.9,580,1.891011402
Haryana,2006,RICE,Kharif,1015191,2790000,262.6,580,2.748251314
Himachal Pradesh,2006,RICE,Kharif,79519,109129,732.1,580,1.372363838
Jammu and Kashmir,2006,RICE,Kharif,240044,492732,817.8,580,2.052673676
Jharkhand,2006,RICE,Kharif,1287723.852,2169001.502,1281.4,580,1.684368507
Karnataka,2006,RICE,Kharif,1308719,3707191,470,580,2.832686772
Kerala,2006,RICE,Kharif,289974,667105,2193.8,580,2.300568327
Madhya Pradesh,2006,RICE,Kharif,1675513,1302615,832.6,580,0.7774424907
Maharashtra,2006,RICE,Kharif,1503000,2665900,425.64,580,1.773719228
Manipur,2006,RICE,Kharif,176310,435930,1253.2,580,2.472519993
Meghalaya,2006,RICE,Kharif,109721,200703,1208.1,580,1.829212275
Mizoram,2006,RICE,Kharif,59196,114630,1253.2,580,1.936448409
Nagaland,2006,RICE,Kharif,164680,263520,1253.2,580,1.600194316
Odisha,2006,RICE,Kharif,4492000,6563000,1508.8,580,1.461041852
Puducherry,2006,RICE,Kharif,24822,61036,56.5,580,2.458947708
Punjab,2006,RICE,Kharif,2614000,9656000,504.8,580,3.693955624
Rajasthan,2006,RICE,Kharif,99756,164858,720,580,1.652612374
Sikkim,2006,RICE,Kharif,14740,21190,1668.2,580,1.437584803
Tamil Nadu,2006,RICE,Kharif,1396651,3222776,280.6,580,2.307502733
Uttar Pradesh,2006,RICE,Kharif,5727772,12494939,452,580,2.181465847
Uttarakhand,2006,RICE,Kharif,283585,571336,823.7,580,2.014690481
West Bengal,2006,RICE,Kharif,5856607,14662239,1408.8,580,2.503538141
Andaman and Nicobar Islands,2007,RICE,Kharif,9714.36625,28441.43714,1793.1,850,2.927770727
Andhra Pradesh,2007,RICE,Kharif,2227682,7392678,780.2,850,3.31855175
Arunachal Pradesh,2007,RICE,Kharif,124029,158146,2185.1,850,1.275072765
Assam,2007,RICE,Kharif,2383731,3470750,1975.1,850,1.4560158
Bihar,2007,RICE,Kharif,3364010,5027947,1369.4,850,1.494629029
Chandigarh,2007,RICE,Kharif,50,250,313.7,850,5
Chhattisgarh,2007,RICE,Kharif,3902881,5634972,1167.2,850,1.443798056
Dadra and Nagar Haveli,2007,RICE,Kharif,12903,32296,756,850,2.502983802
Goa,2007,RICE,Kharif,29653,71918,3369.9,850,2.425319529
Gujarat,2007,RICE,Kharif,679400,1196500,1176.7,850,1.761112747
Haryana,2007,RICE,Kharif,1024326,3010000,313.7,850,2.93851762
Himachal Pradesh,2007,RICE,Kharif,79366,112139,631,850,1.41293501
Jammu and Kashmir,2007,RICE,Kharif,259014,556774,506.1,850,2.14959037
Jharkhand,2007,RICE,Kharif,1287723.852,2169001.502,1234.1,850,1.684368507
Karnataka,2007,RICE,Kharif,1485181,3999246,681.5,850,2.69276674
Kerala,2007,RICE,Kharif,275742,629987,2688.5,850,2.284697289
Madhya Pradesh,2007,RICE,Kharif,1700446,1687475,575.3,850,0.9923720012
Maharashtra,2007,RICE,Kharif,1529300,2571700,342.97,850,1.681619041
Manipur,2007,RICE,Kharif,166260,386070,1676.6,850,2.32208589
Meghalaya,2007,RICE,Kharif,111555,193719,1975.1,850,1.736533548
Mizoram,2007,RICE,Kharif,57085,107660,1676.6,850,1.885959534
Nagaland,2007,RICE,Kharif,167500,311300,1676.6,850,1.858507463
Odisha,2007,RICE,Kharif,4479000,6858000,1428.4,850,1.531145345
Puducherry,2007,RICE,Kharif,22925,53617,151.5,850,2.338800436
Punjab,2007,RICE,Kharif,2080000,10437000,448.6,850,5.017788462
Rajasthan,2007,RICE,Kharif,101361,150423,540.1,850,1.48403232
Sikkim,2007,RICE,Kharif,9070,21610,2042.5,850,2.382579934
Tamil Nadu,2007,RICE,Kharif,1872822,5061622,399.7,850,2.702671156
Uttar Pradesh,2007,RICE,Kharif,5934445,10749989,452.7,850,1.811456505
Uttarakhand,2007,RICE,Kharif,272169,565067,1491.2,850,2.076162237
West Bengal,2007,RICE,Kharif,5783613,14884889,1624.2,850,2.573631569
Andaman and Nicobar Islands,2008,RICE,Kharif,9903.561429,28441.43714,1783.1,850,2.871839322
Andhra Pradesh,2008,RICE,Kharif,2520723,7288721,854.8,850,2.891520012
Arunachal Pradesh,2008,RICE,Kharif,126799,164538,1508.7,850,1.29762853
Assam,2008,RICE,Kharif,2420326,3552438,1683.9,850,1.467751865
Bihar,2008,RICE,Kharif,3477371,4458764,1083.5,850,1.282222691
Chandigarh,2008,RICE,Kharif,50,250,606.6,850,5
Chhattisgarh,2008,RICE,Kharif,3928815,4707477,1037.4,850,1.198192585
Dadra and Nagar Haveli,2008,RICE,Kharif,2500,5950,763,850,2.38
Goa,2008,RICE,Kharif,27997,67919,2949.3,850,2.425938493
Gujarat,2008,RICE,Kharif,672900,1283600,893.9,850,1.907564274
Haryana,2008,RICE,Kharif,1046588,3190000,606.6,850,3.047999786
Himachal Pradesh,2008,RICE,Kharif,79206,123485,749.4,850,1.559035932
Jammu and Kashmir,2008,RICE,Kharif,263246,561355,612,850,2.132435061
Jharkhand,2008,RICE,Kharif,1287723.852,2169001.502,1207.7,850,1.684368507
Karnataka,2008,RICE,Kharif,1395676,3645526,452.3,850,2.612014536
Kerala,2008,RICE,Kharif,263529,641575,1670.9,850,2.434551795
Madhya Pradesh,2008,RICE,Kharif,1674013,1389269,962.2,850,0.829903352
Maharashtra,2008,RICE,Kharif,36836,29128,273.6,850,0.7907481811
Manipur,2008,RICE,Kharif,165370,389170,1243,850,2.353328899
Meghalaya,2008,RICE,Kharif,106071,208022,1683.9,850,1.961158092
Mizoram,2008,RICE,Kharif,56460,107740,1243,850,1.908253631
Nagaland,2008,RICE,Kharif,173100,345090,1243,850,1.993587522
Odisha,2008,RICE,Kharif,4479000,6823000,1393.2,850,1.523331101
Puducherry,2008,RICE,Kharif,21645,60808,60.3,850,2.809332409
Punjab,2008,RICE,Kharif,2640000,10193000,629.3,850,3.860984848
Rajasthan,2008,RICE,Kharif,107492,153574,607.3,850,1.428701671
Sikkim,2008,RICE,Kharif,9790,23690,2117.3,850,2.419816139
Tamil Nadu,2008,RICE,Kharif,2050455,5209433,321.5,850,2.540622935
Uttar Pradesh,2008,RICE,Kharif,5571524,11119095,760.7,850,1.995700817
Uttarakhand,2008,RICE,Kharif,288365,568321,1082.3,850,1.970839041
West Bengal,2008,RICE,Kharif,5782949,14510742,1272.3,850,2.509228769
Andaman and Nicobar Islands,2009,RICE,Kharif,9903.561429,28441.43714,1627.1,950,2.871839322
Andhra Pradesh,2009,RICE,Kharif,2488883,7616392,546.2,950,3.060164741
Arunachal Pradesh,2009,RICE,Kharif,121468,143894.6,1111.8,950,1.184629697
Assam,2009,RICE,Kharif,2196559,2916014,1473.5,950,1.327537298
Bihar,2009,RICE,Kharif,3495273,5589982,707.7,950,1.59929768
Chandigarh,2009,RICE,Kharif,20,100,346.3,950,5
Chhattisgarh,2009,RICE,Kharif,3837610,4347316,852,950,1.132818603
Dadra and Nagar Haveli,2009,RICE,Kharif,13600,23700,1448.1,950,1.742647059
Goa,2009,RICE,Kharif,8688,24343,2282.2,950,2.801910681
Gujarat,2009,RICE,Kharif,689300,1141200,605.7,950,1.65559263
Haryana,2009,RICE,Kharif,1042006,3371000,346.3,950,3.235106132
Himachal Pradesh,2009,RICE,Kharif,78571,121453,550.3,950,1.545773886
Jammu and Kashmir,2009,RICE,Kharif,253774.4444,419085.7111,600.5,950,1.65141022
Jharkhand,2009,RICE,Kharif,1287723.852,2169001.502,826.1,950,1.684368507
Karnataka,2009,RICE,Kharif,1416316,3868515,597.9,950,2.731392571
Kerala,2009,RICE,Kharif,228938,528488,1958.9,950,2.308432851
Madhya Pradesh,2009,RICE,Kharif,1634912,1325175,752.8,950,0.810548213
Maharashtra,2009,RICE,Kharif,1499500,2234210,434.86,950,1.48996999
